priority	match_kind	record_id	original	current_edition	proposed_edition	changes	authority	translation
C	token older exact	v94-diccionario-global-snp:001211	amo teyi kualtiya	amo teyi cualtiya	amo teyi cualtia	cualtiya>cualtia (-tiya>-tia,-iya>-ia)	cualtia: 1547 Olmos_G:3 | 1645 Carochi:2 | 1759 Paredes:2 | 1780 Clavijero:2 | 1551-95 Documentos nahuas de la Ciudad de México:1	vi. no servir para nada
C	token older exact	v94-diccionario-global-snp:001214	amo teyi tanankiliya	amo teyi tlananquiliya	amo teyi tlananquilia	tlananquiliya>tlananquilia (-iya>-ia)	tlananquilia: 1551-95 Documentos nahuas de la Ciudad de México:2 | 1580 CF Index:2	vi. callar (lit. nada responder)
C	token older exact	v94-diccionario-global-snp:001216	amo teyika kualtiya	amo teyica cualtiya	amo teyica cualtia	cualtiya>cualtia (-tiya>-tia,-iya>-ia)	cualtia: 1547 Olmos_G:3 | 1645 Carochi:2 | 1759 Paredes:2 | 1780 Clavijero:2 | 1551-95 Documentos nahuas de la Ciudad de México:1	vi. no importar nada
C	token older exact	v94-diccionario-global-snp:001235	amo ueli ok	amo ueli oc	amo hueli oc	ueli>hueli (initial u>hu,original:initial u>hu)	hueli: 1780 ? Bnf_361:5 | 1571 Molina 1:4 | 1645 Carochi:4 | 17?? Bnf_362bis:4 | 1571 Molina 2:2	vi. ser imposible (realizar una acción, lit. no puede ya…)
C	token older exact	v94-diccionario-global-snp:001239	amo ueltajtoua	amo hueltatoa	amo huellatoa	hueltatoa>huellatoa (insert l after t+ltl>ll)	huellatoa: 1580 CF Index:2 | 1571 Molina 2:1	mudo (lit. no puede hablar)
C	token older exact	v94-diccionario-global-snp:001498	ata kemaj?	ata quema?	atla quema?	ata>atla (insert l after t,original:insert l after t)	atla: 153? Trilingüe:1 | 1571 Molina 2:1 | 1580 CF Index:1 | 1645 Carochi:1	¿verdad que sí?
C	token older exact	v94-diccionario-global-snp:001500	ata?	ata?	atla?	ata>atla (insert l after t,original:insert l after t)	atla: 153? Trilingüe:1 | 1571 Molina 2:1 | 1580 CF Index:1 | 1645 Carochi:1	¿verdad que? (colocado con un adverbio o verbo para pedir confirmación en una pregunta)
C	token older exact	v94-diccionario-global-snp:002334	chikauak metsti	chicahuac metzti	chicahuac metztli	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	luna menguante, luna llena (lit. luna recia)
C	token older exact	v94-diccionario-global-snp:002352	chikauaya metsti	chicahuaya metzti	chicahuaya metztli	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	vi. hacerse la luna llena, haber luna llena, estar la luna llena
C	token older exact	v94-diccionario-global-snp:002443	chiknauipoual uan majtak	chicnahuipohualli huan matac	chicnahuipohualli huan matlac	matac>matlac (insert l after t)	matlac: 1571 Molina 2:10 | 17?? Bnf_362bis:2 | 153? Trilingüe:1 | 1551-95 Documentos nahuas de la Ciudad de México:1 | 1580 CF Index:1	ciento noventa
C	token older exact	v94-diccionario-global-snp:002477	chikome poual uan majtak	chicome pohualli huan matac	chicome pohualli huan matlac	matac>matlac (insert l after t)	matlac: 1571 Molina 2:10 | 17?? Bnf_362bis:2 | 153? Trilingüe:1 | 1551-95 Documentos nahuas de la Ciudad de México:1 | 1580 CF Index:1	ciento cincuenta
C	token older exact	v94-diccionario-global-snp:002487	chikomepoual uan majtak	chicomepohualli huan matac	chicomepohualli huan matlac	matac>matlac (insert l after t)	matlac: 1571 Molina 2:10 | 17?? Bnf_362bis:2 | 153? Trilingüe:1 | 1551-95 Documentos nahuas de la Ciudad de México:1 | 1580 CF Index:1	ciento cincuenta
C	token older exact	v94-diccionario-global-snp:002530	chikuasenpoual uan majtak	chicuacenpohualli huan matac	chicuacenpohualli huan matlac	matac>matlac (insert l after t)	matlac: 1571 Molina 2:10 | 17?? Bnf_362bis:2 | 153? Trilingüe:1 | 1551-95 Documentos nahuas de la Ciudad de México:1 | 1580 CF Index:1	ciento treinta y cinco
C	token older exact	v94-diccionario-global-snp:002549	chikueyipoual uan majtak	chicueyipohualli huan matac	chicueyipohualli huan matlac	matac>matlac (insert l after t)	matlac: 1571 Molina 2:10 | 17?? Bnf_362bis:2 | 153? Trilingüe:1 | 1551-95 Documentos nahuas de la Ciudad de México:1 | 1580 CF Index:1	ciento setenta
C	token older exact	v94-diccionario-global-snp:003318	eyi tonalika majtakti metsti	eyi tonalica matacti metzti	eyi tonalica matacti metztli	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	el día 3 de octubre
C	token older exact	v94-diccionario-global-snp:003325	eyipan metsti	eyipan metzti	eyipan metztli	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	marzo (lit. tercer mes)
C	token older exact	v94-diccionario-global-snp:003337	eyipoual uan majtak	eyipohualli huan matac	eyipohualli huan matlac	matac>matlac (insert l after t)	matlac: 1571 Molina 2:10 | 17?? Bnf_362bis:2 | 153? Trilingüe:1 | 1551-95 Documentos nahuas de la Ciudad de México:1 | 1580 CF Index:1	setenta
C	token older exact	v94-diccionario-global-snp:003395	hasta mosta!	Hazta mozta!	Hazta moztla!	mozta>moztla (insert l after t)	moztla: 1629 Alarcón:6 | 17?? Bnf_362bis:3 | 153? Trilingüe:2 | 1571 Molina 2:2 | 1580 CF Index:2	¡adiós! (despedida común, lit. hasta mañana)
C	token older exact	v94-diccionario-global-snp:003839	ijtakoua taltikpak	itacoa tlalticpac	itlacoa tlalticpac	itacoa>itlacoa (insert l after t)	itlacoa: 153? Trilingüe:6 | 1571 Molina 1:5 | 1571 Molina 2:4 | 1611 Arenas:4 | 1765 Cortés y Zedeño:4	vr. haber problemas medioa ambientales
C	token older exact	v94-diccionario-global-snp:003997	ika mauiltiya	ica mahuiltiya	ica mahuiltia	mahuiltiya>mahuiltia (-tiya>-tia,-iya>-ia)	mahuiltia: 1580 CF Index:3 | 1765 Cortés y Zedeño:3	vi. abusar de (p.e. sexualmente, lit. abusar de él). aprovecharse (de alguien)
C	token older exact	v94-diccionario-global-snp:004019	ika patachtik	ica patachtic	ica patlachtic	patachtic>patlachtic (insert l after t)	patlachtic: 1551-95 Documentos nahuas de la Ciudad de México:1 | 1571 Molina 1:1 | 1571 Molina 2:1 | 1580 CF Index:1 | 1780 ? Bnf_361:1	de ancho
C	token older exact	v94-diccionario-global-snp:004350	imájtakti metsti in xiuit	imátacti metzti in xihuitl	imátacti metztli in xihuitl	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	octubre (lit. su diez mes delaño)
C	token older exact	v94-diccionario-global-snp:004615	ipilkonetsin akin kitamaka ok	ipilconetzin aquin quitamaca oc	ipilconetzin aquin quitlamaca oc	quitamaca>quitlamaca (insert l after t)	quitlamaca: 1580 CF Index:2	su hijo de pecho, su niño de pecho (lit. su hijito a quien alimenta ya)
C	token older exact	v94-diccionario-global-snp:004883	itamachiuj naui tsonti	itlamachiuh nahui tzonti	itlamachiuh nahui tzontli	tzonti>tzontli (insert l after t)	tzontli: 1571 Molina 1:4 | 1571 Molina 2:3 | 1765 Cortés y Zedeño:3 | 153? Trilingüe:2 | 1580 CF Index:2	sus cuatro kilómetros
C	token older exact	v94-diccionario-global-snp:004957	itech majtak telpochmej chiknaui	itech matac telpochme chicnahui	itech matlac telpochme chicnahui	matac>matlac (insert l after t)	matlac: 1571 Molina 2:10 | 17?? Bnf_362bis:2 | 153? Trilingüe:1 | 1551-95 Documentos nahuas de la Ciudad de México:1 | 1580 CF Index:1	cada diez muchachos nueve…
C	token older exact	v94-diccionario-global-snp:004965	itech tanemiliya	itech tlanemiliya	itech tlanemilia	tlanemiliya>tlanemilia (-iya>-ia)	tlanemilia: 1580 CF Index:2 | 1565 Sahagún Escolios:1 | 1571 Molina 2:1 | 17?? Bnf_362:1 | 1780 Clavijero:1	vi. pensar en
C	token older exact	v94-diccionario-global-snp:005757	ixtaua inmachtil	ixtahua inmachtil	ixtlahua inmachtil	ixtahua>ixtlahua (insert l after t)	ixtlahua: 1551-95 Documentos nahuas de la Ciudad de México:8 | 1571 Molina 1:4 | 1611 Arenas:2 | 1759 Paredes:2 | 153? Trilingüe:1	vt. conceder una beca de estudios a alguien (lit. pagar sus estudios)
C	token older exact	v94-diccionario-global-snp:005758	ixtaua panian	ixtahua panian	ixtlahua panian	ixtahua>ixtlahua (insert l after t)	ixtlahua: 1551-95 Documentos nahuas de la Ciudad de México:8 | 1571 Molina 1:4 | 1611 Arenas:2 | 1759 Paredes:2 | 153? Trilingüe:1	sobre la pradera, en la pradera
C	token older exact	v94-diccionario-global-snp:006494	kampa kintamakaj	campa quintamaca	campa quintlamaca	quintamaca>quintlamaca (insert l after t)	quintlamaca: 1580 CF Index:2	comedor (lit. donde les alimentan o donde les dan de comer)
C	token older exact	v94-diccionario-global-snp:006526	kampa okachi kitanij tomin	campa ocachi quitani tomin	campa ocachi quitlani tomin	quitani>quitlani (insert l after t)	quitlani: 1580 CF Index:1	más próspero (p.e. un país, lit. donde más ganan dinero)
C	token older exact	v94-diccionario-global-snp:006964	keman tatayouayan	queman tlatayohuayan	queman tlatlayohuayan	tlatayohuayan>tlatlayohuayan (insert l after t)	tlatlayohuayan: 1580 CF Index:1	cuando es de noche (p.e. todas las horas en las que no hay luz solar)
C	token older exact	v94-diccionario-global-snp:007276	kixtiya in tajtakol	quixtia in tlatacolli	quixtia in tlatlacolli	tlatacolli>tlatlacolli (insert l after t)	tlatlacolli: 1759 Paredes:12 | 1571 Molina 1:11 | 153? Trilingüe:9 | 1780 ? Bnf_361:9 | 1765 Cortés y Zedeño:3	vt. perdonar los pecados a alguien. quitarle el pecado a alguien (dios)
C	token older exact	v94-diccionario-global-snp:007338	kochti	cochti	cochtli	cochti>cochtli (insert l after t)	cochtli: 153? Trilingüe:1 | 1571 Molina 1:1	hondura. bache. hueco
C	token older exact	v94-diccionario-global-snp:007715	koujtaj chamakij	cuauhta chamaqui	cuauhtla chamaqui	cuauhta>cuauhtla (insert l after t)	cuauhtla: 1571 Molina 1:14 | 1765 Cortés y Zedeño:9 | 153? Trilingüe:7 | 1571 Molina 2:6 | 1645 Carochi:2	planta (heliconia sp.) de la familia heliconiaceae, es una especie silvestre de heliconia que produce flores rojas rosadas que amarradas a palos se usan como adorno en los altares de la iglesa y de las casas. flor de esta especie
C	token older exact	v94-diccionario-global-snp:007716	koujtaj kaual	cuauhta cahualli	cuauhtla cahualli	cuauhta>cuauhtla (insert l after t)	cuauhtla: 1571 Molina 1:14 | 1765 Cortés y Zedeño:9 | 153? Trilingüe:7 | 1571 Molina 2:6 | 1645 Carochi:2	acahual, areas de cultivo abandonadas
C	token older exact	v94-diccionario-global-snp:007717	koujtaj uaxin	cuauhta huaxin	cuauhtla huaxin	cuauhta>cuauhtla (insert l after t)	cuauhtla: 1571 Molina 1:14 | 1765 Cortés y Zedeño:9 | 153? Trilingüe:7 | 1571 Molina 2:6 | 1645 Carochi:2	planta (leucaena diversifolia) de la familia leguminosae, subfamilia mimosoideae, sus frutos son comestibles
C	token older exact	v94-diccionario-global-snp:007718	koujtaj xomet	cuauhta xometl	cuauhtla xometl	cuauhta>cuauhtla (insert l after t)	cuauhtla: 1571 Molina 1:14 | 1765 Cortés y Zedeño:9 | 153? Trilingüe:7 | 1571 Molina 2:6 | 1645 Carochi:2	cierto tipo de saúco silvestre (sambucus sp.), árbol de la familia caprifolliaceae, su madera sirve para leña y para postes, sus hojas no tienen ningún uso medicinal, al contrario que el árbol denominado en mexicano xömët
C	token older exact	v94-diccionario-global-snp:008091	kuali tanemiliya	cualli tlanemiliya	cualli tlanemilia	tlanemiliya>tlanemilia (-iya>-ia)	tlanemilia: 1580 CF Index:2 | 1565 Sahagún Escolios:1 | 1571 Molina 2:1 | 17?? Bnf_362:1 | 1780 Clavijero:1	vi. poseer una inteligencia elevada, ser muy inteligente (lit. pensar o discurrir bien)
C	token older exact	v94-diccionario-global-snp:008160	kualo metsti	cualo metzti	cualo metztli	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	vi. haber un eclipse de luna
C	token older exact	v94-diccionario-global-snp:008163	kualoj metsti	cualo metzti	cualo metztli	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	eclipse de luna
C	token older exact	v94-diccionario-global-snp:008178	kualtiya (1/2)	cualtiya (1/2)	cualtia (1/2)	cualtiya>cualtia (-tiya>-tia,-iya>-ia)	cualtia: 1547 Olmos_G:3 | 1645 Carochi:2 | 1759 Paredes:2 | 1780 Clavijero:2 | 1551-95 Documentos nahuas de la Ciudad de México:1	vi. usarse. ser bueno para algo, ser bueno para cierto uso. ser útil, servir o valer (para un fin o para cierta actividad). estar bien. hacerse bueno, volverse bueno. estar listo. tener derecho, estar en posesión de un derecho (que le permite realizar cierta acción). poder (realizar algo)
C	token older exact	v94-diccionario-global-snp:008401	kuaujtaj itskuinti	cuauhta itzcuinti	cuauhtla itzcuinti	cuauhta>cuauhtla (insert l after t)	cuauhtla: 1571 Molina 1:14 | 1765 Cortés y Zedeño:9 | 153? Trilingüe:7 | 1571 Molina 2:6 | 1645 Carochi:2	coyote (cánido, lit. perro salvaje)
C	token older exact	v94-diccionario-global-snp:008402	kuaujtaj pio	cuauhta pio	cuauhtla pio	cuauhta>cuauhtla (insert l after t)	cuauhtla: 1571 Molina 1:14 | 1765 Cortés y Zedeño:9 | 153? Trilingüe:7 | 1571 Molina 2:6 | 1645 Carochi:2	paloma
C	token older exact	v94-diccionario-global-snp:008403	kuaujtaj piotsin tanauatijkej	cuauhta piotzin tlanahuatique	cuauhtla piotzin tlanahuatique	cuauhta>cuauhtla (insert l after t)	cuauhtla: 1571 Molina 1:14 | 1765 Cortés y Zedeño:9 | 153? Trilingüe:7 | 1571 Molina 2:6 | 1645 Carochi:2	paloma mensajera
C	token older exact	v94-diccionario-global-snp:008404	kuaujtaj piotsin	cuauhta piotzin	cuauhtla piotzin	cuauhta>cuauhtla (insert l after t)	cuauhtla: 1571 Molina 1:14 | 1765 Cortés y Zedeño:9 | 153? Trilingüe:7 | 1571 Molina 2:6 | 1645 Carochi:2	paloma, palomita
C	token older exact	v94-diccionario-global-snp:008791	kuitaxkol pitsauak	cuitaxcolli pitzahuac	cuitlaxcolli pitzahuac	cuitaxcolli>cuitlaxcolli (insert l after t)	cuitlaxcolli: 1571 Molina 1:3 | 1571 Molina 2:3 | 1580 CF Index:3 | 1765 Cortés y Zedeño:3 | 153? Trilingüe:2	intestino delgado
C	token older exact	v94-diccionario-global-snp:008792	kuitaxkol tomauak	cuitaxcolli tomahuac	cuitlaxcolli tomahuac	cuitaxcolli>cuitlaxcolli (insert l after t)	cuitlaxcolli: 1571 Molina 1:3 | 1571 Molina 2:3 | 1580 CF Index:3 | 1765 Cortés y Zedeño:3 | 153? Trilingüe:2	intesino grueso
C	token older exact	v94-diccionario-global-snp:008921	kuoujtaj okuilin	cuauhta ocuilin	cuauhtla ocuilin	cuauhta>cuauhtla (insert l after t)	cuauhtla: 1571 Molina 1:14 | 1765 Cortés y Zedeño:9 | 153? Trilingüe:7 | 1571 Molina 2:6 | 1645 Carochi:2	animal salvaje. animal de monte
C	token older exact	v94-diccionario-global-snp:008948	kuoujtal tepet tatampa tech in talkuetaxkuapan	cuauhtalli tepetl tlatlampa tech in tlalcuetaxcuapan	cuauhtlalli tepetl tlatlampa tech in tlalcuetaxcuapan	cuauhtalli>cuauhtlalli (insert l after t)	cuauhtlalli: 1551-95 Documentos nahuas de la Ciudad de México:1 | 1580 CF Index:1 | 17?? Bnf_362:1	sierra norte del estado de puebla
C	token older exact	v94-diccionario-global-snp:009172	machtiya kichiuas seki tekit	machtia quichihuaz cequi tequit	machtia quichihuaz cequi tequitl	tequit>tequitl (-it>-itl,-t>-tl)	tequitl: 1765 Cortés y Zedeño:9 | 153? Trilingüe:8 | 1571 Molina 1:8 | 17?? Bnf_362bis:3 | 1571 Molina 2:2	vr. estudiar un curso de formación profesional (lit. estudiar hacer un trabajo o una profesión)
C	token older exact	v94-diccionario-global-snp:009363	májtajti uan ome metsti	mátati huan ome metzti	mátati huan ome metztli	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	diciembre (lit. mes doce)
C	token older exact	v94-diccionario-global-snp:009365	majtak youak	matac yohuac	matlac yohuac	matac>matlac (insert l after t)	matlac: 1571 Molina 2:10 | 17?? Bnf_362bis:2 | 153? Trilingüe:1 | 1551-95 Documentos nahuas de la Ciudad de México:1 | 1580 CF Index:1	las diez (horas) de la noche
C	token older exact	v94-diccionario-global-snp:009373	májtakti metsti	mátacti metzti	mátacti metztli	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	octubre (lit. mes diez)
C	token older exact	v94-diccionario-global-snp:009380	májtakti uan se metsti	mátacti huan ce metzti	mátacti huan ce metztli	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	noviembre
C	token older exact	v94-diccionario-global-snp:009388	majtaktionome metsti	matactionome metzti	matactionome metztli	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	diciembre
C	token older exact	v94-diccionario-global-snp:009531	makuil panti tapoual	macuilli panti tlapohualli	macuilli pantli tlapohualli	panti>pantli (insert l after t,original:insert l after t)	pantli: 153? Trilingüe:1	a las cinco (de la madrugada o de la tarde). cinco horas
C	token older exact	v94-diccionario-global-snp:009534	makuil tsonti	macuilli tzonti	macuilli tzontli	tzonti>tzontli (insert l after t)	tzontli: 1571 Molina 1:4 | 1571 Molina 2:3 | 1765 Cortés y Zedeño:3 | 153? Trilingüe:2 | 1580 CF Index:2	dos mil
C	token older exact	v94-diccionario-global-snp:009555	makuilpoual uan majtak tionse	macuilpohualli huan matac tionce	macuilpohualli huan matlac tionce	matac>matlac (insert l after t)	matlac: 1571 Molina 2:10 | 17?? Bnf_362bis:2 | 153? Trilingüe:1 | 1551-95 Documentos nahuas de la Ciudad de México:1 | 1580 CF Index:1	ciento once
C	token older exact	v94-diccionario-global-snp:009556	makuilpoual uan majtak	macuilpohualli huan matac	macuilpohualli huan matlac	matac>matlac (insert l after t)	matlac: 1571 Molina 2:10 | 17?? Bnf_362bis:2 | 153? Trilingüe:1 | 1551-95 Documentos nahuas de la Ciudad de México:1 | 1580 CF Index:1	ciento diez
C	token older exact	v94-diccionario-global-snp:009665	manamik tein ika moteuiyaj	manamic tlein ica motehuia	manamic tlein ica motlehuia	motehuia>motlehuia (insert l after t)	motlehuia: 1580 CF Index:1	proyectil (lit. instrumento con el que combaten)
C	token older exact	v94-diccionario-global-snp:009776	mapapatauak tesuat	mapapatahuac tezoatl	mapapatlahuac tezoatl	mapapatahuac>mapapatlahuac (insert l after t)	mapapatlahuac: 1580 CF Index:1	árbol (miconia trinervia) de la familia melastomataceae, se usa para construir casas
C	token older exact	v94-diccionario-global-snp:009809	mapisiltik matalin	mapiciltic matalin	mapiciltic matlalin	matalin>matlalin (insert l after t,original:insert l after t)	matlalin: 1571 Molina 1:1 | 1571 Molina 2:1 | 1580 CF Index:1 | 1780 ? Bnf_361:1	nombre genérico para varias especies de commelina, plantas de la familia commelinnaceae, todas tienen las flores azules, son maleza, se usan como forraje verde para los animales y algunos lo dejan crecer en los cafetales para retener la humedad
C	token older exact	v94-diccionario-global-snp:009982	matalin azul	matalin azulli	matlalin azulli	matalin>matlalin (insert l after t,original:insert l after t)	matlalin: 1571 Molina 1:1 | 1571 Molina 2:1 | 1580 CF Index:1 | 1780 ? Bnf_361:1	nombre genérico para varias especies de plantas de la familia commelinnaceae, todas son malezas de flor azúl, difieren en el número de pétalos y en el color del tallo, se usan como forraje verde para los animales y algunos lo dejan crecer en los cafetales para retener la humedad
C	token older exact	v94-diccionario-global-snp:009983	matalin istak	matalin iztac	matlalin iztac	matalin>matlalin (insert l after t,original:insert l after t)	matlalin: 1571 Molina 1:1 | 1571 Molina 2:1 | 1580 CF Index:1 | 1780 ? Bnf_361:1	nombre genérico para varias especies de plantas de la familia commelinnaceae, todas tienen las flores blancas, son maleza, se usan como forraje verde para los animales y algunos lo dejan crecer en los cafetales para retener la humedad
C	token older exact	v94-diccionario-global-snp:009984	matalin moradoj	matalin morado	matlalin morado	matalin>matlalin (insert l after t,original:insert l after t)	matlalin: 1571 Molina 1:1 | 1571 Molina 2:1 | 1580 CF Index:1 | 1780 ? Bnf_361:1	nombre específico para una especie de la familia commelinnaceae, en algunas zonas son malezas, en otras son cultivadas como plantas de jardín, tiene hojas moradas matizadas con verde y blanco, sus flores son moradas de tres pétalos, se usa para tratar la disentería
C	token older exact	v94-diccionario-global-snp:010359	mayouiya se konet	mayahuiya ce conetl	mayahuia ce conetl	mayahuiya>mayahuia (-iya>-ia)	mayahuia: 1765 Cortés y Zedeño:6 | 17?? Bnf_362:2	vi. abortar un niño
C	token older exact	v94-diccionario-global-snp:010755	metsti chikauak	metzti chicahuac	metztli chicahuac	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	luna llena
C	token older exact	v94-diccionario-global-snp:010756	metsti mixpoliujtok	metzti mixpoliuhtoc	metztli mixpoliuhtoc	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	luna escondida
C	token older exact	v94-diccionario-global-snp:010757	metsti tetsauit	metzti tetzahuitl	metztli tetzahuitl	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	supersticción o creencia del eclipse
C	token older exact	v94-diccionario-global-snp:010758	metsti yankuik	metzti yancuic	metztli yancuic	metzti>metztli (insert l after t)	metztli: 1571 Molina 1:43 | 1571 Molina 2:25 | 1780 ? Bnf_361:15 | 153? Trilingüe:11 | 1765 Cortés y Zedeño:7	luna nueva
C	token older exact	v94-diccionario-global-snp:010766	metstitika	metztitica	metztlitica	metztitica>metztlitica (insert l after t)	metztlitica: 17?? Bnf_362:1	vi. hinchársele el pie o pata (a un ser vivo)
C	token older exact	v94-diccionario-global-snp:010948	mijkuaniya	micuaniya	micuania	micuaniya>micuania (-iya>-ia)	micuania: 153? Trilingüe:2	vi. irse fuera. moverse de un sitio. desplazarse de un sitio. quitarse de un sitio. apartarse
C	token older exact	v94-diccionario-global-snp:011202	mixti uitsitalpan	mixti huitzitlalpan	mixtli huitzitlalpan	mixti>mixtli (insert l after t,original:insert l after t)	mixtli: 1571 Molina 1:5 | 1571 Molina 2:3 | 1580 CF Index:2 | 153? Trilingüe:1 | 1547 Olmos_G:1	neblina
C	token older exact	v94-diccionario-global-snp:011410	mosta mosta	mozta moztla	moztla moztla	mozta>moztla (insert l after t)	moztla: 1629 Alarcón:6 | 17?? Bnf_362bis:3 | 153? Trilingüe:2 | 1571 Molina 2:2 | 1580 CF Index:2	cada día. todos los días, diariamente. día a día, de día en día
C	token older exact	v94-diccionario-global-snp:011411	mosta ok	mozta oc	moztla oc	mozta>moztla (insert l after t)	moztla: 1629 Alarcón:6 | 17?? Bnf_362bis:3 | 153? Trilingüe:2 | 1571 Molina 2:2 | 1580 CF Index:2	hasta mañana (lit. mañana todavía)
C	token older exact	v94-diccionario-global-snp:011412	mosta uikta	mozta huictla	moztla huictla	mozta>moztla (insert l after t)	moztla: 1629 Alarcón:6 | 17?? Bnf_362bis:3 | 153? Trilingüe:2 | 1571 Molina 2:2 | 1580 CF Index:2	pasado mañana
C	token older exact	v94-diccionario-global-snp:011415	mostaj de okiepa	mozta de oquiepa	moztla de oquiepa	mozta>moztla (insert l after t)	moztla: 1629 Alarcón:6 | 17?? Bnf_362bis:3 | 153? Trilingüe:2 | 1571 Molina 2:2 | 1580 CF Index:2	(por la mañana temprano, por la mañana al amanecer)
C	token older exact	v94-diccionario-global-snp:011416	mostaj mostaj	mozta moztla	moztla moztla	mozta>moztla (insert l after t)	moztla: 1629 Alarcón:6 | 17?? Bnf_362bis:3 | 153? Trilingüe:2 | 1571 Molina 2:2 | 1580 CF Index:2	diariamente
C	token older exact	v94-diccionario-global-snp:011434	motalolis de ne tatanilis	motaloliztli de ne tlataniliztli	motlaloliztli de ne tlatlaniliztli	motaloliztli>motlaloliztli (insert l after t); tlataniliztli>tlatlaniliztli (insert l after t)	motlaloliztli: 1765 Cortés y Zedeño:1 | tlatlaniliztli: 153? Trilingüe:2 | 1765 Cortés y Zedeño:2	carrera deportiva, carrera como competición deportiva
C	token older exact	v94-diccionario-global-snp:011869	naltiya	naltiya	naltia	naltiya>naltia (-tiya>-tia,-iya>-ia,original:-tiya>-tia+-iya>-ia)	naltia: 1571 Molina 1:1	vi. ponersele la voz grave (por la edad, especialmnete los niños al llegar a la pubertad). ponérsele la voz grave, afónica o ronca (por enfriamiento o tos)
C	token older exact	v94-diccionario-global-snp:012053	naui tsonti uan kaxtol poual	nahui tzonti huan caxtolli pohualli	nahui tzontli huan caxtolli pohualli	tzonti>tzontli (insert l after t)	tzontli: 1571 Molina 1:4 | 1571 Molina 2:3 | 1765 Cortés y Zedeño:3 | 153? Trilingüe:2 | 1580 CF Index:2	mil novecientos
C	token older exact	v94-diccionario-global-snp:012054	naui tsonti uan kaxtolonaui poual kaxtolonaui	nahui tzonti huan caxtolonahui pohualli caxtolonahui	nahui tzontli huan caxtolonahui pohualli caxtolonahui	tzonti>tzontli (insert l after t)	tzontli: 1571 Molina 1:4 | 1571 Molina 2:3 | 1765 Cortés y Zedeño:3 | 153? Trilingüe:2 | 1580 CF Index:2	mil novecientos noventa y nueve
C	token older exact	v94-diccionario-global-snp:012072	nauipoual uan majtak	nahuipohualli huan matac	nahuipohualli huan matlac	matac>matlac (insert l after t)	matlac: 1571 Molina 2:10 | 17?? Bnf_362bis:2 | 153? Trilingüe:1 | 1551-95 Documentos nahuas de la Ciudad de México:1 | 1580 CF Index:1	noventa
C	token older exact	v94-diccionario-global-snp:012246	nejnentok mixti	nenentoc mixti	nenentoc mixtli	mixti>mixtli (insert l after t,original:insert l after t)	mixtli: 1571 Molina 1:5 | 1571 Molina 2:3 | 1580 CF Index:2 | 153? Trilingüe:1 | 1547 Olmos_G:1	nubes que se mueven
