record_id	original	previous_edition	new_edition	translation
v94-diccionario-global-snp:020565	tatamiltanemililis	tlatamillanemililiztli	tlatlamillanemililiztli	conocimiento final (tras una fase de experimentación)
v94-diccionario-global-snp:020569	tatamotiliya	tlatamotilia	tlatlamotilia	vr. tirarse o arrojarse mutuamente (p.e. piedras). lanzarse pases unos a otros (p.e.en el fútbol)
v94-diccionario-global-snp:020570	tatamotkej	tlatamotque	tlatlamotque	cazador
v94-diccionario-global-snp:020575	tatampakueit	tlatampacueitl	tlatlampacueitl	enagua, falda interior (usada por las mujeres, son de cualquier color y en el borde inferior siempre lleva encaje)
v94-diccionario-global-snp:020578	tatampataken	tlatampataquen	tlatlampataquen	ropa interior
v94-diccionario-global-snp:020580	tatampauiya	tlatampahuia	tlatlampahuia	vi. dar mucha sombra (p.e. un árbol)
v94-diccionario-global-snp:020584	tatanakastan	tlatanacaztlan	tlatlanacaztlan	en los lados, en los bordes, en las orillas
v94-diccionario-global-snp:020585	tatanalis	tlatanaliztli	tlatlanaliztli	acción de ganar
v94-diccionario-global-snp:020586	tatanesi	tlataneci	tlatlaneci	vi. amanecer
v94-diccionario-global-snp:020587	tatanesyan	tlatanezyan	tlatlanezyan	lugar de donde procede una luz muy brillante
v94-diccionario-global-snp:020588	tataneuiliya	tlatanehuilia	tlatlanehuilia	vt. pedir prestado algo a alguien (p.e. alimento, dinero, ropa, etc.)
v94-diccionario-global-snp:020589	tataneujtijkej	tlataneuhtique	tlatlaneuhtique	prestamista
v94-diccionario-global-snp:020591	tatanextiliya	tlatanextilia	tlatlanextilia	vt. iluminar
v94-diccionario-global-snp:020594	tatanilijtinemi	tlatanilitinemi	tlatlanilitinemi	vr. andar ganándose para sí mismo (p.e. un dinero). andar traficando o comerciando para sí mismo. vt. ganarle (p.e. dinero) a alguien o ganar para alguien (p.e. dinero)
v94-diccionario-global-snp:020595	tatanilijtiyouej	tlatanilitiahui	tlatlanilitiahui	vr. ir a ganarse (un sueldo, un dinero para subsistir)
v94-diccionario-global-snp:020600	tatankej	tlatanque	tlatlanque	vencedor, ganador, triunfador
v94-diccionario-global-snp:020601	tatantinemi	tlatantinemi	tlatlantinemi	vi. andar venciendo, andar ganando. vr. (andar compitiendo, andar apostando?)
v94-diccionario-global-snp:020602	tatantiyouej	tlatantiahui	tlatlantiahui	vi. ir ganando (p.e. uno de los equipos en un partido de baloncesto)
v94-diccionario-global-snp:020604	tatapalkuiloni	tlatapalcuiloni	tlatlapalcuiloni	pincel
v94-diccionario-global-snp:020605	tatapaluijkej	tlatapalhuique	tlatlapalhuique	pintor
v94-diccionario-global-snp:020606	tatapaluil	tlatapalhuilli	tlatlapalhuilli	grafiti, pintura o inscripción en un lugar público. pintado (p.e. una tabla, un cuadro, adj.). teñido (de forma accidental, p.e. ropa, adj.)
v94-diccionario-global-snp:020607	tatapaluiya	tlatapalhuia	tlatlapalhuia	vi. pintar, colorear. dibujar
v94-diccionario-global-snp:020608	tatapalyokej	tlatapalyoque	tlatlapalyoque	dibujadas, ilustradas
v94-diccionario-global-snp:020616	tatapetanilot	tlatapetlanilotl	tlatlapetlanilotl	relámpago
v94-diccionario-global-snp:020618	tatapojtiyouej	tlatapotiahui	tlatlapotiahui	ir abriendo
v94-diccionario-global-snp:020619	tatapokaujteua	tlatapocauhtehua	tlatlapocauhtehua	dejar abierto
v94-diccionario-global-snp:020621	tatapopoka	tlatapopoca	tlatlapopoca	vi. humear (p.e. un campo quemado tras deshierbarlo)
v94-diccionario-global-snp:020622	tatapotok	tlatapotoc	tlatlapotoc	abierto
v94-diccionario-global-snp:020624	tatapoui	tlatapohui	tlatlapohui	vi. abrirse. abrir (p.e. la puerta). abrirse una puerta (por sí sola o por algo como el viento). vr. comentarse unos a otros, platicarse, hacerse comentarios unos a otros
v94-diccionario-global-snp:020625	tatapouilijtiuetsi	tlatapohuilitihuetzi	tlatlapohuilitihuetzi	vt. abrir rápidamente (la puerta) a alguien
v94-diccionario-global-snp:020626	tatapouiliya	tlatapohuilia	tlatlapohuilia	vt. abrirle algo a alguien (p.e. la puerta). abrir la puerta a alguien. recibir a alguien en su casa
v94-diccionario-global-snp:020627	tatapouiya	tlatapohuia	tlatlapohuia	vt. abrir a alguien (p.e. una puerta). vi. abrirse
v94-diccionario-global-snp:020628	tatapoujkej	tlatapouhque	tlatlapouhque	narrador. portero
v94-diccionario-global-snp:020632	tatasasneki	tlatazaznequi	tlatlazaznequi	vi. querer poner huevos
v94-diccionario-global-snp:020634	tataskatsajtsi	tlatazcatzatzi	tlatlazcatzatzi	vi. cloquear
v94-diccionario-global-snp:020636	tataskuouit	tlatazcuahuitl	tlatlazcuahuitl	leña, palos (p.e. para echar a la hoguera)
v94-diccionario-global-snp:020644	tatatatsika	tlatatatzica	tlatlatatzica	vi. crujir
v94-diccionario-global-snp:020645	tatatatsini	tlatatatzini	tlatlatatzini	vi. tronar (escucharse truenos). tronar repetidamente, sonar truenos repetidamente (al relampaguear)
v94-diccionario-global-snp:020657	tatatitanil	tlatatitlanilli	tlatlatitlanilli	apóstol, enviado
v94-diccionario-global-snp:020660	tatatiyouej	tlatatiahui	tlatlatiahui	vr. ir a esconderse (p.e. jugando al escondite)
v94-diccionario-global-snp:020661	tatatojtiya	tlatatotia	tlatlatotia	vi. (jugar con el trompo?)
v94-diccionario-global-snp:020664	tatatsika	tlatatzica	tlatlatzica	vi. crujir. sonar o hacer ruido al estallar (tronar en México, p.e. la manteca al ser calentada). sonar como cuando se dan golpecitos. hacer tictac o sonido similar (p.e. reloj, máquina de escribir, etc.)
v94-diccionario-global-snp:020665	tatatsikauilo	tlatatzicahuillo	tlatlatzicahuillo	vi. salpicarse de agua de lluvia o neblina con la llovizna (p.e. objetos protegidos bajo un techo alto, pero que el viento hace que la llovizna llegue a salpicarlos, como leña apilada, ropa tendida, etc.)
v94-diccionario-global-snp:020668	tatatsinilot	tlatatzinilotl	tlatlatzinilotl	trueno
v94-diccionario-global-snp:020669	tatatsintokiya	tlatatzintoquia	tlatlatzintoquia	vr. preguntarse
v94-diccionario-global-snp:020670	tatatsiuiya	tlatatzihuia	tlatlatzihuia	vt. caerle un rayo a alguien
v94-diccionario-global-snp:020672	tatatskaltiliya	tlatatzcaltilia	tlatlatzcaltilia	vt. hacer rechinar algo de alguien (p.e. tablas, la cama)
v94-diccionario-global-snp:020673	tatatskaltiya	tlatatzcaltia	tlatlatzcaltia	vt. hacer rechinar algo (p.e. una cama, unas tablas)
v94-diccionario-global-snp:020693	tataxi	tlataxi	tlatlaxi	toser
v94-diccionario-global-snp:020697	tataxis	tlataxiz	tlatlaxiz	tos. catarro. gripe (gripa en México)
v94-diccionario-global-snp:020698	tataxiskui	tlataxizcui	tlatlaxizcui	vi. tener tos (lit. agarrar tos). (enfriarse, resfriarse?)
v94-diccionario-global-snp:020699	tataxiskuiltiya	tlataxizcuiltia	tlatlaxizcuiltia	vt. dar tos, hacer que alguien tenga o enferme con tos (p.e. la lluvia)
v94-diccionario-global-snp:020700	tataxispaj	tlataxizpa	tlatlaxizpa	medicina para la tos
v94-diccionario-global-snp:020701	tataxisti	tlataxizti	tlatlaxizti	vi. tener tos
v94-diccionario-global-snp:020702	tataxixkui	tlataxixcui	tlatlaxixcui	vi. agarrarle a alguien la tos, padecer tos (tataxixkuik, le agarró la tos)
v94-diccionario-global-snp:020703	tataxkaliya	tlataxcalia	tlatlaxcalia	vi. (hacer tortillas?). (apurarse, darse prisa?)
v94-diccionario-global-snp:020704	tataxkalojkej	tlataxcaloque	tlatlaxcaloque	tortillera, mujer que hace tortillas
v94-diccionario-global-snp:020705	tataxkalolis	tlataxcaloliztli	tlatlaxcaloliztli	acción de hacer tortillas, el hacer tortillas. elaboración de tortillas, trabajo o acción de elaborar tortillas
v94-diccionario-global-snp:020706	tataxkaloua	tlataxcaloa	tlatlaxcaloa	vi. echar tortillas, hacer tortillas, tortillear. aplaudir. palmear
v94-diccionario-global-snp:020707	tataxkaloujkej	tlataxcaloque	tlatlaxcaloque	tortillera, mujer que trabaja haciendo tortillas
v94-diccionario-global-snp:020708	tataxtiya	tlataxtia	tlatlaxtia	vt. provocarle una tos momentánea a alguien, hacer toser momentáneamente a alguien (p.e. la quema de chile, el humo)
v94-diccionario-global-snp:020710	tatayi	tlatayi	tlatlayi	vi. beber. beber constantemente. cometer excesos con la bebida
v94-diccionario-global-snp:020711	tatayil	tlatayilli	tlatlayilli	barbecho
v94-diccionario-global-snp:020712	tatayiloni	tlatayiloni	tlatlayiloni	copa (para beber)
v94-diccionario-global-snp:020713	tatayokoliya	tlatayocolia	tlatlayocolia	vr. (regalarse unos a otros?)
v94-diccionario-global-snp:020714	tatayokolkan	tlatayocolcan	tlatlayocolcan	día triste (se dice cuando no sale el sol y hay mucha neblina)
v94-diccionario-global-snp:020716	tatayoualo	tlatayohuallo	tlatlayohuallo	vi. dar vueltas y vueltas, dar vueltas sin parar (p.e. a una manzana de edificios en un vehículo para consumir toda la gasolina)
v94-diccionario-global-snp:020718	tatayouayanilot	tlatayohuayanilotl	tlatlayohuayanilotl	oscuridad
v94-diccionario-global-snp:020719	tatayouayantiya	tlatayohuayantia	tlatlayohuayantia	v. impersonal. anochecer. oscurecerse (el día)
v94-diccionario-global-snp:020720	tatayouayantiyak	tlatayohuayantiyac	tlatlayohuayantiyac	estar completamente oscuro
v94-diccionario-global-snp:021604	tayekankatatankej	tlayecancatlatanque	tlayecancatlatlanque	el triunfador, el vencedor (lit. el principal vencedor)
v94-diccionario-global-snp:021975	tein ika se tatapaluiya	tlein ica ce tlatapalhuia	tlein ica ce tlatlapalhuia	caja de pinturas, caja de lápices de colores (lit. con lo que uno colorea)
v94-diccionario-global-snp:022458	tekiuaj itech in yektatalismej	tequihua itech in yectlatalizme	tequihua itech in yectlatlalizme	regidor de obras
v94-diccionario-global-snp:025174	tomin tataneujtijkej	tomin tlataneuhtique	tomin tlatlaneuhtique	prestamista de dinero
v94-diccionario-global-snp:025458	totayekankatatauan	totlayecancatlatahuan	totlayecancatlatlahuan	nuestros antepasados
v94-diccionario-global-snp:025569	touejkaujkatatajuan	tohuecauhcatlatahuan	tohuecauhcatlatlahuan	nuestros antepasados
v94-diccionario-global-snp:026240	uakatataxis	huacatlataxiz	huacatlatlaxiz	deshidratación
v94-diccionario-global-snp:026245	uakkatataxis	huaccatlataxiz	huaccatlatlaxiz	tuberculosis. tos seca, generalmente por fumar o padecer tuberculosis
v94-diccionario-global-snp:027511	xalkapolin itajtay	xalcapolin itlatay	xalcapolin itlatlay	árbol (clidemia petiolaris) de la familia melastomataceae considerado como pariente del árbol llamado en mexicano xälkapolin común
v94-diccionario-global-snp:028994	yektajtakentiya	yectlataquentia	yectlatlaquentia	vr. vestirse correctamente
v94-diccionario-global-snp:028996	yektajtalkauani	yectlatalcahuani	yectlatlalcahuani	muy olvidadizo
v94-diccionario-global-snp:029069	yektatachiual	yectlatachihualli	yectlatlachihualli	demasiado desastre
v94-diccionario-global-snp:029073	yektatalis	yectlataliztli	yectlatlaliztli	obras públicas municipales (lit. arreglos)
