source	record_id	field	original	editado	context
1580 Sahagún/Máynez	1580-sahagun-maynez:000139	Comentario	tonalchichicaquilitl	tonalchichicaquilitl	l. 99, p. 101 v. Las gallinas de esta tierra, y los gallos, se llaman totoli, y también hiviquentzin, i también xiuhcozque: son aves domésticas, y conocidas, tiene la cola redonda, tiene plumas en las alas aunque no vuelan. Son de muy buen comer, la mejor carne de todas las aves; comen maíz majado, cuando pequeños y también bledos cocidos
1580 Sahagún/Máynez	1580-sahagun-maynez:000178	Comentario	totolli*	totolli	"TOTOLLI* : ""Gallina"" (Totolli) Las gallinas de esta tierra, y los gallos, se llaman totolli , y también hiviquentzin, i también xiuhcozque: son aves domésticas, y conocidas; tiene la cola redonda, tienen plumas en las alas, aunque no vuelan. Son de muy buen comer, la mejor carne de tudas las aves: comen maíz majado, cuando pequeños y"
1580 Sahagún/Máynez	1580-sahagun-maynez:000326	Comentario	xiuhcozqueh*	xiuhcozque	"XIUHCOZQUE* : ""Los dueños de collar de fuego"" Las gallinas de esta tierra, y los gallos, se llaman totoli, y también hiviquentzin, i también xiuhcozque : son aves domésticas y conocidas, tienen la cola redonda, tienen plumas en las alas, aunque no vuelan. Son de muy buen comer, la mejor carne de todas las aves: c"
1580 Sahagún/Máynez	1580-sahagun-maynez:000792	Comentario	cuanacaquilitl	cuanacaquilitl	"ba comestible de las crestadas"" (Cuanacaquilitl) Las gallinas de esta tierra, y los gallos, se llaman totoli, y también hiviquentzin, i también xiuhcozque: son aves domésticas, y conocidas: tiene la cola redonda, tiene plumas en las alas, aunque no vuelan. Son de muy buen comer, la mejor carne de todas la aves; comen maíz ajado, cuando pe"
1580 Sahagún/Máynez	1580-sahagun-maynez:001855	Comentario	teotl	teotl	llamaban teutl : por su lindeza, al mar, también por su grandeza, i ferocidad: i también a muchos de los animales los llamaban por este nombre por razón de su espantable disposition i braveza. Donde se infiere que este nombre teutl se toma, en buena, i en mala parte... Lib. 11, p. 152 v.
1580 Sahagún/Máynez	1580-sahagun-maynez:001997	Comentario	tezcatlipoca*	tezcatlipoca	6, fol. 8, p. 11 v. Capítulo cuarto, del lenguaje, y afectos que usaban: cuando oraban al principal dios, llamado tezcatlipuca, teiocoianj, tehimatini i proveedor de todas las cosas necesarias, demandando favor, para el señor recién electo: para que hiciese bien su oficio. Lib. 6, fol. 12, p. 15 r. Capítulo quinto, del lenguaje y afectos
