source	field	rows	filled_rows	coverage	likely_present	likely_absent	p_present_nahuatl	p_not_nahuatl	p_present_spanish	p_not_spanish	p_present_french	p_not_french	p_present_latin	p_not_latin	p_present_english	p_not_english	p_present_greek	p_not_greek	top_evidence
17?? Bnf_362bis	Traducción	920	916	0.9957	spanish	french,latin,english,greek	0.0916	0.9084	0.8439	0.1561	0.0135	0.9865	0.0013	0.9987	0.0000	1.0000	0.0000	1.0000	nahuatl:no=124|huel=64|zan=44; spanish:de=396|que=301; french:despues=30|tambien=29|etcetera=16; latin:vel=7
17?? Bnf_362bis	Traducción (es)	920	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
17?? Bnf_362bis	Comentario	920	608	0.6609	nahuatl,spanish	french,latin,english,greek	0.8074	0.1926	0.7862	0.2138	0.0412	0.9588	0.0068	0.9932	0.0000	1.0000	0.0000	1.0000	nahuatl:in=1170|zan=568|amo=527; spanish:de=848|que=780|el=646; french:despues=50|tambien=33|preterito=21; latin:vel=25
17?? Bnf_362bis	Comentario (es)	920	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
17?? Bnf_362bis	Comentario_wimmer_plus_html	920	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
17?? Bnf_362bis	all_public_text	920	919	0.9989	nahuatl,spanish	french,latin,english,greek	0.5762	0.4238	0.9159	0.0841	0.0401	0.9599	0.0057	0.9943	0.0000	1.0000	0.0000	1.0000	nahuatl:in=1185|zan=612|no=600; spanish:de=1244|que=1081; french:despues=80|tambien=62|preterito=33; latin:vel=32
1984 Tzinacapan	Original	2940	2940	1.0000	nahuatl	spanish,french,latin,english,greek	0.9503	0.0497	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:amo=4|achto=2
1984 Tzinacapan	Editado	2940	2939	0.9997	nahuatl	spanish,french,latin,english,greek	0.9548	0.0452	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:hueyi=13|amo=6
1984 Tzinacapan	Traducción	2940	2940	1.0000	spanish	nahuatl,french,latin,english,greek	0.0052	0.9948	0.7943	0.2057	0.0012	0.9988	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:no=14|humedo=6|ahumar=5; spanish:de=300|el=224; french:cafe=11|despues=4|debil=4
1984 Tzinacapan	Traducción (es)	2940	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
1984 Tzinacapan	Comentario	2940	1082	0.3680	spanish	nahuatl,french,latin,english,greek	0.0095	0.9905	0.5425	0.4575	0.0345	0.9655	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:amo=8|in=7|huele=7; spanish:lo=482|se=287; french:el=26|metsti=15|motemaka=12
1984 Tzinacapan	Comentario (es)	2940	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
1984 Tzinacapan	Comentario_wimmer_plus_html	2940	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
1984 Tzinacapan	all_public_text	2940	2940	1.0000	spanish	nahuatl,french,latin,english,greek	0.0085	0.9915	0.8355	0.1645	0.0139	0.9861	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:no=21|amo=10|ahumar=9; spanish:lo=494; french:el=26|metsti=15|motemaka=12
1992 Karttunen	Original	6407	6407	1.0000	nahuatl	spanish,french,latin,english,greek	0.9553	0.0447	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:tli=729|in=60
1992 Karttunen	Editado	6407	6407	1.0000	nahuatl	spanish,french,latin,english,greek	0.9552	0.0448	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:zan=4|ahua=3
1992 Karttunen	Traducción	6407	6406	0.9998	english	nahuatl,spanish,french,latin,greek	0.0282	0.9718	0.0354	0.9646	0.0030	0.9970	0.0000	1.0000	0.8723	0.1277	0.0001	0.9999	nahuatl:in=469|no=122|huevo=15; spanish:de=1531|el=1329|lo=850; french:que=35|el=29|despues=16; latin:vel=1; english:the=584|be=361; greek:greek-script=1
1992 Karttunen	Traducción (es)	6407	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
1992 Karttunen	Comentario	6407	6405	0.9997	nahuatl,english	spanish,french,latin,greek	0.3609	0.6391	0.0357	0.9643	0.0031	0.9969	0.0000	1.0000	0.7315	0.2685	0.0001	0.9999	nahuatl:tli=767|in=645; spanish:de=1533|el=1331|lo=853; french:que=35|el=29|despues=16; latin:vel=1; english:the=750|with=415; greek:greek-script=1
1992 Karttunen	Comentario (es)	6407	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
1992 Karttunen	Comentario_wimmer_plus_html	6407	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
1992 Karttunen	all_public_text	6407	6407	1.0000	nahuatl,english	french,latin,greek	0.3754	0.6246	0.0564	0.9436	0.0058	0.9942	0.0000	1.0000	0.9652	0.0348	0.0001	0.9999	nahuatl:in=1114|tli=767; spanish:de=3064|el=2660|lo=1703; french:que=70|el=58|despues=32; latin:vel=2; english:the=1334; greek:greek-script=2
2002 Mecayapan	Original	3183	3183	1.0000	nahuatl	spanish,french,latin,english,greek	0.9527	0.0473	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:ihuan=8|quen=8
2002 Mecayapan	Editado	3183	3176	0.9978	nahuatl	spanish,french,latin,english,greek	0.9538	0.0462	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:ihuan=8|quen=8
2002 Mecayapan	Traducción	3183	3183	1.0000	spanish	nahuatl,french,latin,english,greek	0.0076	0.9924	0.7987	0.2013	0.0029	0.9971	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:no=46|huevo=12|chueco=6; spanish:de=523|su=288; french:el=15|vease=12|que=8
2002 Mecayapan	Traducción (es)	3183	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
2002 Mecayapan	Comentario	3183	2423	0.7612	spanish	latin,english,greek	0.2091	0.7909	0.6555	0.3445	0.0783	0.9217	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:no=398|ipan=362|ihuan=284; spanish:vease=1433|el=1199; french:vease=1433|inin=114|yej=94
2002 Mecayapan	Comentario (es)	3183	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
2002 Mecayapan	Comentario_wimmer_plus_html	3183	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
2002 Mecayapan	all_public_text	3183	3183	1.0000	spanish	latin,english,greek	0.1652	0.8348	0.8982	0.1018	0.0623	0.9377	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:no=444|ipan=362|ihuan=286; spanish:el=1458; french:vease=1445|inin=115|el=100
2021 Wimmer	Original	42464	42464	1.0000	nahuatl	spanish,french,latin,english,greek	0.9557	0.0443	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:teuctli=7|coatl=4
2021 Wimmer	Editado	42464	42464	1.0000	nahuatl	spanish,french,latin,english,greek	0.9557	0.0443	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:amo=10|teuctli=7
2021 Wimmer	Traducción	42464	42464	1.0000	french	nahuatl,spanish,latin,english,greek	0.0418	0.9582	0.0052	0.9948	0.8811	0.1189	0.0000	1.0000	0.0011	0.9989	0.0000	1.0000	nahuatl:tla=3033|tetla=428|in=361; spanish:de=12991|la=5699|en=4018; french:etre=4018|refl=2443; latin:gracilis=1; english:the=132|with=44|fine=31
2021 Wimmer	Traducción (es)	42464	42459	0.9999	spanish	nahuatl,french,latin,english,greek	0.0289	0.9711	0.8918	0.1082	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:tla=3072|no=499|tetla=436; spanish:de=15711|el=9120; french:tambien=208|etnico=184|quien=143; latin:gracilis=1; english:artificial=3|be=2|old=1; greek:griego=2
