record_id	route	escritura_original	texto_estandarizado	source_traduccion	old_traduccion	new_traduccion	old_comentario	new_comentario
1992-karttunen:005705	general	tzīncocox	tzincocox	only attested in possessed form; hip, posterior / su cadera, nalga, asentadera	only attested in possessed form; hip, posterior / su cadera, nalga, asentadera	only attested in possessed form: hip, posterior / su cadera, nalga, asentadera	<b>1992 Karttunen original:</b> TZĪNCOCOX only attested in possessed form hip, posterior / su cadera, nalga, asentadera (T)	<b>1992 Karttunen original:</b> only attested in possessed form; hip, posterior / su cadera, nalga, asentadera
1992-karttunen:005713	general	-tzīnēuhca	tzineuhca	necessarily possessed form; the beginning of something / principio	necessarily possessed form; the beginning of something / principio	necessarily possessed form: the beginning of something / principio	<b>1992 Karttunen original:</b> -TZĪNĒUHCA necessarily possessed form the beginning of something / principio (Z)	<b>1992 Karttunen original:</b> necessarily possessed form; the beginning of something / principio
1992-karttunen:005715	general	-tzīnpan	tzinpan	necessarily possessed form; one’s waist / su cintura	necessarily possessed form; one’s waist / su cintura	necessarily possessed form: one’s waist / su cintura	<b>1992 Karttunen original:</b> -TZĪNPAN necessarily possessed form one’s waist / su cintura (T)	<b>1992 Karttunen original:</b> necessarily possessed form; one’s waist / su cintura
1992-karttunen:005729	general	tzīnte-tl	tzintetl	possessed form; foundation, base, buttocks / cimiento de pared, nalgas	possessed form; foundation, base, buttocks / cimiento de pared, nalgas	possessed form: foundation, base, buttocks / cimiento de pared, nalgas	<b>1992 Karttunen original:</b> TZĪNTE-TL possessed form: -TZĪNTEYŌ foundation, base, buttocks / cimiento de pared (M), nalgas (T)	<b>1992 Karttunen original:</b> possessed form; foundation, base, buttocks / cimiento de pared, nalgas
1992-karttunen:005803	general	tzontecom(a)-tl	tzontecomatl	possessed form; head, skull / cabeza cortada y apartada del cuerpo, cabeza, cráneo	possessed form; head, skull / cabeza cortada y apartada del cuerpo, cabeza, cráneo	possessed form: head, skull / cabeza cortada y apartada del cuerpo, cabeza, cráneo	<b>1992 Karttunen original:</b> TZONTECOM(A)-TL pl: -MEH; possessed form: -TECON head, skull / cabeza cortada y apartada del cuerpo (M), cabeza (C), cráneo (T)	<b>1992 Karttunen original:</b> possessed form; head, skull / cabeza cortada y apartada del cuerpo, cabeza, cráneo
1992-karttunen:005820	general	-tzopēlicā	tzopelica	necessarily possessed form; the sweetness of something / la dulzura (de la miel)	necessarily possessed form; the sweetness of something / la dulzura (de la miel)	necessarily possessed form: the sweetness of something / la dulzura (de la miel)	<b>1992 Karttunen original:</b> -TZOPĒLICĀ necessarily possessed form the sweetness of something / la dulzura (de la miel) (C)	<b>1992 Karttunen original:</b> necessarily possessed form; the sweetness of something / la dulzura (de la miel)
1992-karttunen:005891	general	-xelihuiyān	xelihuiyan	necessarily possessed form; the dividing place of something / a medio	necessarily possessed form; the dividing place of something / a medio	necessarily possessed form: the dividing place of something / a medio	<b>1992 Karttunen original:</b> -XELIHUIYĀN necessarily possessed form the dividing place of something / a medio (C referring to midday)	<b>1992 Karttunen original:</b> necessarily possessed form; the dividing place of something / a medio
1992-karttunen:005931	general	xināch-tli	xinachtli	seed / semilla de hortaliza; necessarily possessed form; one’s semen / el semen genital	seed / semilla de hortaliza; necessarily possessed form; one’s semen / el semen genital	seed / semilla de hortaliza; necessarily possessed form: one’s semen / el semen genital	<b>1992 Karttunen original:</b> XINĀCH-TLI seed / semilla de hortaliza (M) -XINĀCHYŌ necessarily possessed form one’s semen / el semen genital (C)	<b>1992 Karttunen original:</b> seed / semilla de hortaliza; necessarily possessed form; one’s semen / el semen genital
1992-karttunen:005995	general	-xōchihcuallō	xochicuallo	necessarily possessed form; the crop of fruit (of a tree) / fruta… del árbol	necessarily possessed form; the crop of fruit (of a tree) / fruta… del árbol	necessarily possessed form: the crop of fruit (of a tree) / fruta… del árbol	<b>1992 Karttunen original:</b> -XŌCHIHCUALLŌ necessarily possessed form the crop of fruit (of a tree) / fruta… del árbol (C)	<b>1992 Karttunen original:</b> necessarily possessed form; the crop of fruit (of a tree) / fruta… del árbol
1992-karttunen:006062	general	-xōtlaca	xotlaca	necessarily possessed form; blooming (of flowers) / el brotar de las flores	necessarily possessed form; blooming (of flowers) / el brotar de las flores	necessarily possessed form: blooming (of flowers) / el brotar de las flores	<b>1992 Karttunen original:</b> -XŌTLACA necessarily possessed form blooming (of flowers) / el brotar de las flores (C)	<b>1992 Karttunen original:</b> necessarily possessed form; blooming (of flowers) / el brotar de las flores
1992-karttunen:006091	general	yacapitz-tli	yacapitztli	possessed form; point / punta, la punta de aguja	possessed form; point / punta, la punta de aguja	possessed form: point / punta, la punta de aguja	<b>1992 Karttunen original:</b> YACAPITZ-TLI possessed form: –YACAPITZ~ -YACAPITZYŌ point / punta, la punta de aguja (X)	<b>1992 Karttunen original:</b> possessed form; point / punta, la punta de aguja
1992-karttunen:006109	general	-yamāncā	yamanca	necessarily possessed form; one’s softness / su blandura	necessarily possessed form; one’s softness / su blandura	necessarily possessed form: one’s softness / su blandura	<b>1992 Karttunen original:</b> -YAMĀNCĀ necessarily possessed form one’s softness / su blandura (C)	<b>1992 Karttunen original:</b> necessarily possessed form; one’s softness / su blandura
1992-karttunen:006144	general	-yēcmācopa	yecmacopa	necessarily possessed form; to or on one’s right-hand side / derecha, a la derecha	necessarily possessed form; to or on one’s right-hand side / derecha, a la derecha	necessarily possessed form: to or on one’s right-hand side / derecha, a la derecha	<b>1992 Karttunen original:</b> -YĒCMĀCOPA necessarily possessed form to or on one’s right-hand side / derecha (X), a la derecha (X)	<b>1992 Karttunen original:</b> necessarily possessed form; to or on one’s right-hand side / derecha, a la derecha
1992-karttunen:006183	general	-yehyeyān	yeyeyan	necessarily possessed form; one’s customary place / en su lugar	necessarily possessed form; one’s customary place / en su lugar	necessarily possessed form: one’s customary place / en su lugar	<b>1992 Karttunen original:</b> -YEHYEYĀN necessarily possessed form one’s customary place / en su lugar (C)	<b>1992 Karttunen original:</b> necessarily possessed form; one’s customary place / en su lugar
1992-karttunen:006209	general	-yohcāuh	yocauh	necessarily possessed form; one’s possession, something for oneself alone / cosa mía	necessarily possessed form; one’s possession, something for oneself alone / cosa mía	necessarily possessed form: one’s possession, something for oneself alone / cosa mía	<b>1992 Karttunen original:</b> -YOHCĀUH necessarily possessed form one’s possession, something for oneself alone / cosa mía (M for the first pers. sg. possessor)	<b>1992 Karttunen original:</b> necessarily possessed form; one’s possession, something for oneself alone / cosa mía
1992-karttunen:006222	general	-yōlcā	yolca	necessarily possessed form; one’s sustenance / sustento y mantenimiento	necessarily possessed form; one’s sustenance / sustento y mantenimiento	necessarily possessed form: one’s sustenance / sustento y mantenimiento	<b>1992 Karttunen original:</b> -YŌLCĀ necessarily possessed form one’s sustenance / sustento y mantenimiento (C)	<b>1992 Karttunen original:</b> necessarily possessed form; one’s sustenance / sustento y mantenimiento
1992-karttunen:006223	general	-yōlcān	yolcan	necessarily possessed form; homeland, birthplace / patria o tierra natural de alguno	necessarily possessed form; homeland, birthplace / patria o tierra natural de alguno	necessarily possessed form: homeland, birthplace / patria o tierra natural de alguno	<b>1992 Karttunen original:</b> -YŌLCĀN necessarily possessed form homeland, birthplace / patria o tierra natural de alguno (M)	<b>1992 Karttunen original:</b> necessarily possessed form; homeland, birthplace / patria o tierra natural de alguno
1992-karttunen:006249	general	-yōlīcahtzin	yolicatzin	necessarily possessed form; polite phrase for greeting or passing / (seas) bien venido	necessarily possessed form; polite phrase for greeting or passing / (seas) bien venido	necessarily possessed form: polite phrase for greeting or passing / (seas) bien venido	<b>1992 Karttunen original:</b> -YŌLĪCAHTZIN necessarily possessed form polite phrase for greeting or passing / (seas) bien venido (C)	<b>1992 Karttunen original:</b> necessarily possessed form; polite phrase for greeting or passing / (seas) bien venido
1992-karttunen:006350	general	-zāzāliuhyō	zazaliuhyo	only attested in possessed form; one’s joint / su conyuntura	only attested in possessed form; one’s joint / su conyuntura	only attested in possessed form: one’s joint / su conyuntura	<b>1992 Karttunen original:</b> -ZĀZĀLIUHYŌ only attested in possessed form one’s joint / su conyuntura (T)	<b>1992 Karttunen original:</b> only attested in possessed form; one’s joint / su conyuntura
1992-karttunen:006351	general	-zāzālōl	zazalol	only attested in possessed form; one’s joint / su conyuntura	only attested in possessed form; one’s joint / su conyuntura	only attested in possessed form: one’s joint / su conyuntura	<b>1992 Karttunen original:</b> -ZĀZĀLŌL only attested in possessed form one’s joint / su conyuntura (T)	<b>1992 Karttunen original:</b> only attested in possessed form; one’s joint / su conyuntura
